ProductID;Title;Category;Stock;Available;LOT;Pcs;AgeInDays;COGS;Excise;CPU;Total;GrandTotal
1021905;Sierra Milenario Tequila Fumado;;5;5;24/01/2022;5;9;19,35;3,696;1,3942;24,4402;122,2
1014291;Silent Pool Gin;;5;5;16/11/2020;5;443;41,5;3,696;0,4941;45,6901;228,45
1003375;Sipsmith London Dry Gin;;2;2;10/11/2021;2;84;29,99;3,696;0,4848;34,1708;68,34
2100006726;Sipsmith Sloe Gin;;12;12;28/12/2021;12;36;9,05;3,696;0,3704;13,1164;157,4
1007471;Skarucna Serpent's Spit;;13;13;07/12/2021;4;57;16,446;3,696;0,5931;20,7351;269,56
1022207;Slane Triple Casked Irish Whiskey;;13;13;20/12/2021;9;44;16,446;3,696;0,5931;20,7351;269,56
2100007425;Smokehead Sherry Bomb Whisky;;1;1;28/03/2018;1;1407;72,8228;3,696;0;76,5188;76,52
1022313;Son of a Peat Batch 01;;3;3;03/01/2022;3;30;42,49;3,9732;0,7075;47,1707;141,51
1023025;Son of a Peat Batch 02;;1;1;16/10/2020;1;474;1.510,49;5,6456;0;1.516,14;1.516,14
1024147;Son of a Peat Batch 03 The Redeemer;;10;10;02/12/2021;10;62;17,42;4,62;0,5241;22,5641;225,64
1022322;Specialty Drinks Laphroaig 20 Year Old 1996;;7;7;08/10/2021;5;117;5,4568;4,62;1,014;11,0908;77,64
1006310;Speyburn 10 Year Old;;22;22;03/01/2022;22;30;9,6666;3,696;0,6725;14,0351;308,77
1023035;Speyburn 15 Year Old Highland Single Malt;;10;10;28/12/2021;10;36;13,35;3,696;0,3704;17,4164;174,16
1006644;Speyburn Bradan Orach;;15;15;28/12/2021;6;36;24,75;3,696;0,9463;29,3923;440,88
2100006033;Starward Fortis Single Malt;;15;15;24/01/2022;9;9;24,75;3,696;0,9463;29,3923;440,88
2100006032;Starward Left;Field Single Malt;1;1;28/12/2021;2;36;43;4,2504;0,3704;47,6208;47,62
1023077;Starward Nova Single Malt;;2;2;10/04/2018;2;1394;8,7796;0,2733;0;9,0529;18,11
1024228;Stork Club Straight Rye Whiskey;;2;2;15/04/2021;3;293;47,1865;4,2504;0;51,4369;102,87
2100006566;Stork Club Whiskey Sour;;7;7;13/11/2020;5;446;17,8366;3,9732;0,4143;22,2241;155,57
1005577;Strathmill 12 Year Old Flora and Fauna;;7;7;28/01/2022;3;5;17,8366;3,9732;0,4143;22,2241;155,57
2100007569;Strykk Not R*m;;3;3;06/11/2017;3;1549;22;1,9173;0,8667;24,784;74,35
1022311;Suntory Roku Gin;;3;3;10/11/2021;3;84;36,75;5,28;0,4848;42,5148;127,54
1022257;Suntory The Chita Whisky;;2;2;12/11/2021;2;82;10,52;2,97;0,4357;13,9257;27,85
